"Name","Date","VS","Score","ATS","O/U"
"Bulls","19-Oct","@ MIA","W 116-108","W 7.5","O 217"
"Cavs","16-May","@ BK","L 109-123","L 13","O 225.5"
"Cavs","14-May","@ WAS","L 105-120","L 9","U 226.5"
"Cavs","12-May","BOS","W 102-94","W 6","U 222.5"
"Cavs","10-May","IND","L 102-111","P 9","U 228.5"
"Cavs","9-May","DAL","L 97-124","L 10.5","O 218.5"
"Cavs","7-May","@ DAL","L 90-110","L 10.5","U 217"
"Cavs","5-May","POR","L 105-141","L 12","O 227"
"Cavs","4-May","PHO","L 118-134 (OT)","L 12.5","O 220.5"
"Cavs","1-May","MIA","L 107-124","L 11","O 209"
"Cavs","30-Apr","WAS","L 93-122","L 6.5","U 231.5"
"Cavs","28-Apr","ORL","L 104-109","L -3.5","O 211"
"Cavs","26-Apr","@ TOR","L 96-112","L 11.5","U 212"
"Cavs","25-Apr","@ WAS","L 110-119","L 7.5","O 225.5"
"Cavs","23-Apr","@ CHA","L 102-108","L 1.5","U 211.5"
"Cavs","21-Apr","CHI","W 121-105","W 2","O 210"
"Cavs","19-Apr","@ DET","L 105-109","L -3.5","P 214"
"Cavs","17-Apr","@ CHI","L 96-106","L 3","U 213"
"Cavs","15-Apr","GS","L 101-119","L 5.5","U 226"
"Cavs","14-Apr","@ CHA","W 103-90","W 3","U 210"
"Cavs","11-Apr","NO","L 109-116","W 9","O 223.5"
"Cavs","10-Apr","TOR","L 115-135","L -3","O 218"
"Cavs","8-Apr","@ OKC","W 129-102","W -4","O 219"
"Cavs","5-Apr","@ SA","W 125-101","W 8","O 217"
"Cavs","3-Apr","@ MIA","L 101-115","L 12","O 209.5"
"Cavs","1-Apr","PHI","L 94-114","L 9.5","U 214.5"
"Cavs","29-Mar","@ UTA","L 75-114","L 16.5","U 221.5"
"Cavs","27-Mar","@ SAC","L 98-100","W 9","U 225.5"
"Cavs","26-Mar","@ LAL","L 86-100","L 4","U 207"
"Cavs","24-Mar","@ CHI","W 103-94","W 7.5","U 214"
"Cavs","22-Mar","SAC","L 105-119","L 4.5","U 224.5"
"Cavs","21-Mar","TOR","W 116-105","W 7.5","O 215.5"
"Cavs","19-Mar","SA","L 110-116","L 5","O 213"
"Cavs","17-Mar","BOS","W 117-110","W 7.5","O 212.5"
"Cavs","16-Mar","@ MIA","L 98-113","L 11","O 206.5"
"Cavs","14-Mar","@ ATL","L 82-100","L 5.5","U 222.5"
"Cavs","12-Mar","@ NO","L 82-116","L 6.5","U 225.5"
"Cavs","3-Mar","IND","L 111-114","W 6.5","O 219"
"Cavs","1-Mar","@ HOU","W 101-90","W 3","U 217.5"
"Cavs","27-Feb","@ PHI","W 112-109 (OT)","W 11.5","O 219.5"
"Cavs","24-Feb","HOU","W 112-96","W 5.5","U 221"
"Cavs","23-Feb","ATL","W 112-111","W 7.5","U 228"
"Cavs","21-Feb","OKC","L 101-117","L 3","U 219"
"Cavs","19-Feb","DEN","L 103-120","L 9.5","U 225.5"
"Cavs","15-Feb","@ GS","L 98-129","L 11","U 227.5"
"Cavs","14-Feb","@ LAC","L 111-128","L 9","O 220"
"Cavs","12-Feb","@ POR","L 110-129","L 3.5","O 221.5"
"Cavs","10-Feb","@ DEN","L 95-133","L 9.5","O 217.5"
"Cavs","8-Feb","@ PHO","L 113-119","L 5.5","O 213"
"Cavs","6-Feb","MIL","L 99-124","L 10","U 226.5"
"Cavs","5-Feb","MIL","L 105-123","L 11","P 228"
"Cavs","3-Feb","LAC","L 99-121","L 9","O 219.5"
"Cavs","1-Feb","MIN","W 100-98","L -3.5","U 221.5"
"Cavs","31-Jan","@ MIN","L 104-109","L -3","U 219.5"
"Cavs","29-Jan","@ NY","L 81-102","L 1.5","U 209"
"Cavs","27-Jan","DET","W 122-107","W -2","O 215"
"Cavs","25-Jan","LAL","L 108-115","W 12","O 215"
"Cavs","24-Jan","@ BOS","L 103-141","L 6","O 213"
"Cavs","22-Jan","BK","W 125-113","W 6.5","O 223.5"
"Cavs","20-Jan","BK","W 147-135 (OT)","W 10.5","O 226"
"Cavs","15-Jan","NY","W 106-103","W 2","O 195"
"Cavs","12-Jan","UTA","L 87-117","L 12","U 208"
"Cavs","11-Jan","MEM","L 91-101","L 2","U 207"
"Cavs","9-Jan","@ MIL","L 90-100","L 8.5","U 219"
"Cavs","7-Jan","@ MEM","W 94-90","W 6","U 208.5"
"Cavs","6-Jan","@ ORL","L 94-105","L 5","U 214"
"Cavs","4-Jan","@ ORL","L 83-103","L 5.5","U 214"
"Cavs","2-Jan","@ ATL","W 96-91","W 5.5","U 229.5"
"Cavs","31-Dec","@ IND","L 99-119","L 8","U 219.5"
"Cavs","29-Dec","NY","L 86-95","L -3.5","U 216"
"Cavs","27-Dec","PHI","W 118-94","W 6","U 218"
"Cavs","26-Dec","@ DET","W 128-119 (OT)","W 1","O 214"
"Cavs","23-Dec","CHA","W 121-114","W 3","O 217"
"Cavs","10-Apr","MIL","W 133-115","W -8.5","O 226.5"
"Cavs","8-Apr","@ BK","L 107-118","L 8.5","U 232.5"
"Cavs","5-Apr","@ ORL","L 115-120","L -8","O 221"
"Cavs","3-Apr","PHI","L 108-112","W 5.5","U 225"
"Cavs","2-Apr","@ NY","W 119-101","W 2","O 219.5"
"Cavs","31-Mar","@ ATL","L 107-131","L 6.5","O 229.5"
"Cavs","30-Mar","DAL","L 112-120","L 2.5","O 215"
"Cavs","28-Mar","ORL","W 107-101","L -8","U 217"
"Cavs","26-Mar","CHI","L 94-98","L -2","U 223"
"Cavs","24-Mar","@ TOR","L 104-117","L 5.5","O 214.5"
"Cavs","21-Mar","LAL","L 120-131","L -5","O 228"
"Cavs","19-Mar","DET","W 113-109","L -6","O 218.5"
"Cavs","18-Mar","DEN","W 119-116 (OT)","W 2.5","O 226"
"Cavs","16-Mar","PHI","L 114-118","P 4","O 220"
"Cavs","14-Mar","LAC","W 120-111 (OT)","W -7","O 214"
"Cavs","12-Mar","@ CHI","L 91-101","L 5.5","U 218"
"Cavs","11-Mar","@ MIA","L 105-117","L 8.5","O 209.5"
"Cavs","8-Mar","@ IND","W 127-124","W -2.5","O 222.5"
"Cavs","6-Mar","TOR","W 104-96","W -5","U 210.5"
"Cavs","4-Mar","@ PHI","L 119-125","W 7.5","O 216"
"Cavs","2-Mar","CHA","L 98-119","L -4","U 219.5"
"Cavs","28-Feb","MIN","L 122-127","L 3.5","O 218"
"Cavs","26-Feb","WAS","W 92-86","L -8.5","U 207"
"Cavs","24-Feb","@ DET","L 103-106","L -5","P 209"
"Cavs","15-Feb","@ ATL","L 116-124","L 2.5","O 222"
"Cavs","12-Feb","@ PHI","L 93-103","L 2.5","U 210"
"Cavs","11-Feb","@ IND","W 120-113","W -6.5","O 216"
"Cavs","9-Feb","SA","W 105-92","W -5.5","U 217"
"Cavs","6-Feb","IND","W 98-85","W -7","U 212.5"
"Cavs","4-Feb","@ CHA","W 102-101","W 7","U 216.5"
"Cavs","2-Feb","@ HOU","L 104-115","L -5","O 217.5"
"Cavs","31-Jan","NO","W 93-90","L -4.5","U 207"
"Cavs","30-Jan","@ DET","L 105-115","L -7.5","O 208"
"Cavs","26-Jan","MIL","W 115-99","W 4","U 217"
"Cavs","24-Jan","NY","W 95-93","L -5","U 201"
"Cavs","22-Jan","OKC","W 94-87","L -12","U 208"
"Cavs","19-Jan","@ CHI","L 104-117","L -3.5","O 214.5"
"Cavs","17-Jan","BK","W 114-107","W -4","U 222"
"Cavs","15-Jan","@ OKC","W 107-102","P -5","O 208.5"
"Cavs","14-Jan","@ SA","W 114-109","W -3","O 219.5"
"Cavs","12-Jan","@ UTA","W 111-91","W 5","U 224.5"
"Cavs","10-Jan","@ SAC","W 109-108","L -5","U 221"
"Cavs","9-Jan","@ GS","L 82-96","L 6.5","U 217"
"Cavs","7-Jan","@ POR","W 114-101","W -6","U 216.5"
"Cavs","4-Jan","MEM","L 106-110","L -3.5","U 216.5"
"Cavs","2-Jan","IND","W 108-104","P -4","O 207.5"
"Cavs","31-Dec","ATL","L 118-121","L -2","O 217.5"
"Cavs","30-Dec","@ WAS","L 93-110","L 4","U 209"
"Cavs","28-Dec","@ NO","L 104-108","L -4.5","O 210"
"Cavs","26-Dec","TOR","W 144-99","W -9","O 207.5"
"Cavs","22-Dec","@ BOS","L 101-111","L 6.5","U 217"
"Cavs","18-Dec","@ MIL","W 119-90","W -6","U 211"
"Cavs","15-Dec","HOU","W 124-89","W -9.5","U 216.5"
"Cavs","13-Dec","MIA","W 105-94","W -5.5","U 208.5"
"Cavs","11-Dec","SAC","W 117-103","W -6.5","U 223"
"Cavs","10-Dec","@ MIN","W 123-106","W -2","O 213.5"
"Cavs","8-Dec","CHI","W 115-92","W -3.5","U 212.5"
"Cavs","6-Dec","@ MIL","L 104-112","W 8.5","O 215"
"Cavs","5-Dec","UTA","L 108-109","W 5","O 214"
"Cavs","3-Dec","@ WAS","W 116-101","W 3","O 208.5"
"Cavs","1-Dec","@ MIA","W 111-85","W 3","U 206.5"
"Cavs","29-Nov","@ DAL","W 114-96","W 6.5","U 210.5"
"Cavs","27-Nov","ORL","W 105-92","W -10.5","U 204.5"
"Cavs","24-Nov","PHO","L 115-120","W 7","O 211"
"Cavs","22-Nov","BK","L 112-117","W 5.5","O 208"
"Cavs","18-Nov","GS","L 89-104","L 9.5","U 209"
"Cavs","17-Nov","@ BK","L 99-109","L 9.5","O 206.5"
"Cavs","15-Nov","BOS","L 92-98","L 4.5","U 198.5"
"Cavs","13-Nov","BOS","W 91-89","L -2.5","U 202"
"Cavs","12-Nov","DET","W 98-78","W -5","U 200.5"
"Cavs","10-Nov","WAS","L 94-97","W 3.5","U 209"
"Cavs","7-Nov","@ NY","W 126-109","W 7.5","O 207.5"
"Cavs","5-Nov","@ TOR","W 102-101","W 6","U 204"
"Cavs","3-Nov","POR","W 107-104","W 5.5","U 217"
"Cavs","1-Nov","@ CHA","W 113-110","W 5","O 219.5"
"Cavs","30-Oct","@ PHO","L 92-101","W 10","U 216"
"Cavs","29-Oct","@ LAL","L 101-113","L 8","U 221.5"
"Cavs","27-Oct","@ LAC","W 92-79","W 8","U 219"
"Cavs","25-Oct","@ DEN","W 99-87","W 9.5","U 220.5"
"Cavs","23-Oct","ATL","W 101-95","W 8","U 223.5"
"Cavs","22-Oct","CHA","L 112-123","L 2","O 226.5"
"Cavs","20-Oct","@ MEM","L 121-132","L 7","O 218"
"Cavs","9-Apr","CHA","L 95-106","L -6.5","U 216"
"Cavs","6-Apr","@ ORL","W 118-94","W 5.5","U 213.5"
"Cavs","4-Apr","@ ORL","W 117-113","P -4","O 223"
"Cavs","2-Apr","IND","W 115-105","L -13","U 231"
"Cavs","31-Mar","NY","L 116-130","L -3","O 220.5"
"Cavs","28-Mar","@ ATL","L 118-120","W 3","U 239.5"
"Cavs","26-Mar","HOU","W 108-91","W -14","U 228.5"
"Cavs","23-Mar","@ BK","W 116-114","L -3.5","O 219.5"
"Cavs","21-Mar","@ BK","W 115-109","W -4","O 217.5"
"Cavs","17-Mar","WAS","W 117-94","W -5.5","U 220.5"
"Cavs","15-Mar","PHI","L 109-118","L 2.5","O 222"
"Cavs","14-Mar","@ CHA","W 120-104","W -5.5","O 219"
"Cavs","12-Mar","@ CHA","W 114-108","L -10","O 220.5"
"Cavs","10-Mar","@ MIA","L 115-119","L 3","O 211.5"
"Cavs","8-Mar","@ MIA","W 104-100","W -1.5","U 215.5"
"Cavs","6-Mar","BOS","W 118-114 (OT)","L -7.5","O 219"
"Cavs","4-Mar","DET","W 114-90","W -16.5","U 221"
"Cavs","1-Mar","@ BOS","L 113-117","W 4.5","O 219"
"Cavs","26-Feb","TOR","W 118-93","W -7.5","U 218"
"Cavs","24-Feb","@ ATL","L 119-136","L 1","O 228.5"
"Cavs","23-Feb","DEN","L 109-115","L -3","O 223.5"
"Cavs","15-Feb","@ PHI","L 112-118","L 2","O 216.5"
"Cavs","13-Feb","SA","W 117-109","L -16","O 225.5"
"Cavs","11-Feb","CHI","W 97-89","W -6","U 219.5"
"Cavs","10-Feb","@ NO","W 118-107","W -3","O 221.5"
"Cavs","8-Feb","DET","W 113-85","W -9","U 217.5"
"Cavs","6-Feb","@ WAS","W 114-91","W -3.5","U 220"
"Cavs","5-Feb","@ IND","W 122-103","W -4.5","U 227.5"
"Cavs","2-Feb","MEM","W 128-113","W -6.5","O 222.5"
"Cavs","31-Jan","MIA","L 97-100","L -4","U 211"
"Cavs","29-Jan","LAC","W 122-99","W -11","O 214"
"Cavs","27-Jan","@ OKC","L 100-112","L 1","U 221.5"
"Cavs","26-Jan","@ HOU","W 113-95","W -8.5","U 216"
"Cavs","24-Jan","@ NY","L 103-105","L -3.5","U 221"
"Cavs","21-Jan","MIL","W 114-102","W -3","U 217.5"
"Cavs","20-Jan","GS","L 114-120","L -10.5","O 219.5"
"Cavs","18-Jan","@ MEM","L 114-115","W 7.5","O 227"
"Cavs","16-Jan","NO","W 113-103","W -7.5","U 223.5"
"Cavs","14-Jan","@ MIN","L 102-110","L -4.5","U 224.5"
"Cavs","12-Jan","@ POR","W 119-113","W -1","O 224"
"Cavs","10-Jan","@ UTA","L 114-116","L -2.5","O 226.5"
"Cavs","8-Jan","@ PHO","W 112-98","W -6","U 215.5"
"Cavs","6-Jan","@ DEN","L 108-121","L 5.5","O 221.5"
"Cavs","4-Jan","PHO","W 90-88","L -5","U 216.5"
"Cavs","2-Jan","CHI","W 145-134 (OT)","W -4","O 225"
"Cavs","31-Dec","@ CHI","W 103-102","P -1","U 223"
"Cavs","29-Dec","@ IND","L 126-135","L -3.5","O 225.5"
"Cavs","26-Dec","BK","L 117-125","L -2","O 221"
"Cavs","23-Dec","TOR","L 107-118","L -4.5","O 214"
"Cavs","21-Dec","MIL","W 114-106","W -2","O 215.5"
"Cavs","19-Dec","UTA","W 122-99","W -6.5","O 219.5"
"Cavs","17-Dec","DAL","W 100-99 (OT)","L -8.5","U 213"
"Cavs","16-Dec","IND","W 118-112","L -8","O 222.5"
"Cavs","14-Dec","@ DAL","W 105-90","W 2.5","U 217.5"
"Cavs","12-Dec","@ SA","L 111-112","L -9.5","O 221.5"
"Cavs","10-Dec","OKC","W 110-102","W -5","U 218"
"Cavs","9-Dec","SAC","L 95-106","L -3.5","U 216"
"Cavs","6-Dec","LAL","W 116-102","W -5.5","U 225"
"Cavs","4-Dec","@ NY","L 81-92","L -2.5","U 222.5"
"Cavs","2-Dec","ORL","W 107-96","W -10.5","U 217.5"
"Cavs","30-Nov","PHI","W 113-85","W -3.5","U 209"
"Cavs","28-Nov","@ TOR","L 88-100","L 5","U 217.5"
"Cavs","27-Nov","@ DET","W 102-94","P -8","U 218.5"
"Cavs","25-Nov","@ MIL","L 102-117","L 4","O 215"
"Cavs","23-Nov","POR","W 114-96","W -6.5","U 213"
"Cavs","21-Nov","ATL","W 114-102","W -3","U 227"
"Cavs","20-Nov","MIA","W 113-87","W -7","U 212.5"
"Cavs","18-Nov","CHA","W 132-122 (OT)","P -10","O 220.5"
"Cavs","16-Nov","@ MIL","L 98-113","L 2","U 218"
"Cavs","13-Nov","MIN","L 124-129","L -1","O 222"
"Cavs","11-Nov","@ GS","L 101-106","L 3","U 232.5"
"Cavs","9-Nov","@ SAC","L 120-127","L -4.5","O 228.5"
"Cavs","7-Nov","@ LAC","L 117-119","L -4","O 212"
"Cavs","6-Nov","@ LAL","W 114-100","W -5.5","U 222.5"
"Cavs","4-Nov","@ DET","W 112-88","W -4","U 215.5"
"Cavs","2-Nov","BOS","W 114-113 (OT)","W 1.5","O 220"
"Cavs","30-Oct","NY","W 121-108","W -3.5","O 220"
"Cavs","28-Oct","@ BOS","W 132-123 (OT)","W 7","O 218.5"
"Cavs","26-Oct","ORL","W 103-92","W -8.5","U 215.5"
"Cavs","23-Oct","WAS","W 117-107 (OT)","W -3.5","O 216.5"
"Cavs","22-Oct","@ CHI","W 128-96","W -1.5","O 220.5"
"Cavs","19-Oct","@ TOR","L 105-108","L 2.5","U 216"
"Pistons","16-May","MIA","L 107-120","L 3","O 211.5"
"Pistons","14-May","DEN","L 91-104","L 8.5","U 217"
"Pistons","11-May","MIN","L 100-119","L 7.5","U 227.5"
"Pistons","9-May","CHI","L 96-108","L 9.5","U 216.5"
"Pistons","8-May","@ PHI","L 104-118","L 9.5","O 217"
"Pistons","6-May","MEM","W 111-97","W 9","U 222.5"
"Pistons","4-May","CHA","L 99-102","W 4","U 217.5"
"Pistons","3-May","ORL","L 112-119","L -2","O 210.5"
"Pistons","1-May","@ CHA","L 94-107","L 7.5","U 216"
"Pistons","29-Apr","DAL","L 105-115","L 7.5","O 213.5"
"Pistons","26-Apr","ATL","W 100-86","W 4.5","U 215.5"
"Pistons","24-Apr","@ IND","L 109-115","L 4.5","U 229.5"
"Pistons","22-Apr","@ SA","L 91-106","L 7","U 214.5"
"Pistons","21-Apr","@ DAL","L 117-127","W 10.5","O 217.5"
"Pistons","19-Apr","CLE","W 109-105","W 3.5","P 214"
"Pistons","17-Apr","@ WAS","L 100-121","L 4.5","U 226"
"Pistons","16-Apr","OKC","W 110-104","W -2.5","U 217"
"Pistons","14-Apr","LAC","L 98-100","P 2","U 217"
"Pistons","11-Apr","@ LAC","L 124-131","W 13","O 216"
"Pistons","10-Apr","@ POR","L 103-118","L 11.5","U 226"
"Pistons","8-Apr","@ SAC","W 113-101","W 8.5","U 224"
"Pistons","6-Apr","@ DEN","L 119-134","L 11","O 213.5"
"Pistons","5-Apr","@ OKC","W 132-108","W -3","O 214"
"Pistons","3-Apr","NY","L 81-125","L 2.5","O 202.5"
"Pistons","1-Apr","WAS","W 120-91","W -1","U 220"
"Pistons","31-Mar","POR","L 101-124","L 8","O 221.5"
"Pistons","29-Mar","TOR","W 118-104","W 5","O 215"
"Pistons","27-Mar","@ WAS","L 92-106","L 5.5","U 224.5"
"Pistons","26-Mar","BK","L 111-113","W 6.5","O 217.5"
"Pistons","24-Mar","@ IND","L 111-116","W 7.5","O 219"
"Pistons","21-Mar","CHI","L 86-100","L 3","U 217"
"Pistons","19-Mar","@ HOU","W 113-100","W 2.5","U 216"
"Pistons","17-Mar","TOR","W 116-112","W 6.5","O 217.5"
"Pistons","15-Mar","SA","L 99-109","L 1.5","U 211"
"Pistons","13-Mar","@ BK","L 95-100","W 11","U 226"
"Pistons","11-Mar","@ CHA","L 102-105","W 4.5","U 226.5"
"Pistons","4-Mar","@ NY","L 104-114","L 6.5","O 207"
"Pistons","3-Mar","@ TOR","W 129-105","W 7.5","O 211"
"Pistons","28-Feb","NY","L 90-109","L 1","U 209.5"
"Pistons","26-Feb","SAC","L 107-110","L 1.5","U 228"
"Pistons","24-Feb","@ NO","L 118-128","W 11.5","O 221.5"
"Pistons","23-Feb","@ ORL","W 105-93","W 4.5","U 210.5"
"Pistons","21-Feb","@ ORL","L 96-105","L 3","U 210"
"Pistons","19-Feb","@ MEM","L 95-109","L 4.5","U 219"
"Pistons","17-Feb","@ CHI","L 102-105","L 2.5","U 220"
"Pistons","14-Feb","NO","W 123-112","W 5.5","O 222.5"
"Pistons","12-Feb","@ BOS","W 108-102","W 7","U 211"
"Pistons","11-Feb","IND","L 95-111","L 4","U 215"
"Pistons","9-Feb","BK","W 122-111","W 5.5","O 228.5"
"Pistons","6-Feb","@ LAL","L 129-135 (OT)","W 14","O 213.5"
"Pistons","5-Feb","@ PHO","L 92-109","L 8","U 212"
"Pistons","2-Feb","@ UTA","L 105-117","W 12.5","O 218.5"
"Pistons","30-Jan","@ GS","L 91-118","L 5.5","U 224"
"Pistons","28-Jan","LAL","W 107-92","W 7","U 214.5"
"Pistons","27-Jan","@ CLE","L 107-122","L 2","O 215"
"Pistons","25-Jan","PHI","W 119-104","W 5","O 216"
"Pistons","23-Jan","PHI","L 110-114","W 8.5","O 215"
"Pistons","22-Jan","HOU","L 102-103","L -3","U 215"
"Pistons","20-Jan","@ ATL","L 115-123 (OT)","L 4.5","O 220.5"
"Pistons","18-Jan","@ MIA","L 107-113","P 6","O 214.5"
"Pistons","16-Jan","@ MIA","W 120-100","W 5.5","O 217.5"
"Pistons","13-Jan","MIL","L 101-110","W 10.5","U 226"
"Pistons","10-Jan","UTA","L 86-96","L 8.5","U 218"
"Pistons","8-Jan","PHO","W 110-105 (OT)","W 7.5","U 215.5"
"Pistons","6-Jan","@ MIL","L 115-130","L 11.5","O 227"
"Pistons","4-Jan","@ MIL","L 115-125","W 15.5","O 223.5"
"Pistons","3-Jan","BOS","L 120-122","W 8","O 212.5"
"Pistons","1-Jan","BOS","W 96-93","W 8.5","U 213.5"
"Pistons","29-Dec","GS","L 106-116","L 4.5","U 227.5"
"Pistons","28-Dec","@ ATL","L 120-128","W 10.5","O 223.5"
"Pistons","26-Dec","CLE","L 119-128 (OT)","L -1","O 214"
"Pistons","23-Dec","@ MIN","L 101-111","L 5.5","U 225"
"Pistons","10-Apr","@ PHI","L 106-118","L 6.5","O 221"
"Pistons","8-Apr","MIL","L 101-131","L 10.5","O 231.5"
"Pistons","6-Apr","DAL","L 113-131","L 8.5","O 219"
"Pistons","3-Apr","@ IND","W 121-117","W 4.5","O 233"
"Pistons","1-Apr","@ OKC","W 110-101","W -4","U 222"
"Pistons","31-Mar","PHI","W 102-94","W 10","U 225"
"Pistons","29-Mar","@ BK","L 123-130","W 14","O 234"
"Pistons","27-Mar","NY","L 102-104","W 4.5","U 219"
"Pistons","25-Mar","WAS","L 97-100","L -3.5","U 223"
"Pistons","23-Mar","ATL","W 122-101","W 5","U 227"
"Pistons","21-Mar","POR","L 115-119","L -9.5","O 222.5"
"Pistons","19-Mar","@ CLE","L 109-113","W 6","O 218.5"
"Pistons","17-Mar","@ ORL","W 134-120","W 3","O 219"
"Pistons","15-Mar","@ MIA","L 98-105","W 14","U 213.5"
"Pistons","13-Mar","LAC","L 102-106","L 3.5","U 217"
"Pistons","11-Mar","@ BOS","L 103-114","W 14","O 215.5"
"Pistons","9-Mar","CHI","L 108-114","W 6.5","U 229"
"Pistons","7-Mar","ATL","W 113-110 (OT)","W 8","U 228.5"
"Pistons","4-Mar","IND","W 111-106","W 2.5","U 230.5"
"Pistons","3-Mar","@ TOR","W 108-106","W 8","U 219"
"Pistons","1-Mar","@ WAS","L 113-116","W 3.5","O 218"
"Pistons","27-Feb","@ CHA","W 127-126 (OT)","W 10","O 229"
"Pistons","26-Feb","BOS","L 104-113","W 12.5","P 217"
"Pistons","24-Feb","CLE","W 106-103","W 5","P 209"
"Pistons","16-Feb","@ BOS","W 112-111","W 12","O 213.5"
"Pistons","14-Feb","@ WAS","L 94-103","L 3","U 217"
"Pistons","11-Feb","CHA","L 119-141","L 6.5","O 227.5"
"Pistons","10-Feb","MEM","L 107-132","L 11.5","O 225"
"Pistons","8-Feb","@ DAL","L 86-116","L 10.5","U 212.5"
"Pistons","6-Feb","@ MIN","L 105-118","L 12.5","U 230.5"
"Pistons","4-Feb","BOS","L 93-102","W 11","U 214.5"
"Pistons","3-Feb","MIN","L 117-128","L 7.5","O 226.5"
"Pistons","1-Feb","NO","L 101-111","L 2.5","U 218"
"Pistons","30-Jan","CLE","W 115-105","W 7.5","O 208"
"Pistons","28-Jan","@ ORL","L 103-119","L 3.5","O 216"
"Pistons","25-Jan","DEN","L 105-110","W 7","U 219"
"Pistons","23-Jan","@ DEN","L 111-117","W 11.5","O 217"
"Pistons","21-Jan","@ UTA","L 101-111","W 14.5","U 216.5"
"Pistons","19-Jan","@ SAC","W 133-131","W 7.5","O 221.5"
"Pistons","18-Jan","@ GS","L 86-102","L 15.5","U 218"
"Pistons","16-Jan","PHO","L 108-135","L 11.5","O 216"
"Pistons","14-Jan","TOR","W 103-87","W 9","U 211"
"Pistons","11-Jan","@ CHI","L 87-133","L 13.5","U 220.5"
"Pistons","10-Jan","UTA","W 126-116","W 10.5","O 224"
"Pistons","8-Jan","ORL","W 97-92","W -1","U 215.5"
"Pistons","6-Jan","@ MEM","L 88-118","L 13.5","U 219"
"Pistons","5-Jan","@ CHA","L 111-140","L 10.5","O 227"
"Pistons","3-Jan","@ MIL","W 115-106","W 17","U 226.5"
"Pistons","1-Jan","SA","W 117-116 (OT)","W 6.5","O 222"
"Pistons","29-Dec","NY","L 85-94","L 8.5","U 214"
"Pistons","26-Dec","@ SA","L 109-144","L 10","O 221"
"Pistons","23-Dec","@ MIA","L 112-115","W 12","O 207"
"Pistons","21-Dec","@ NY","L 91-105","L 7.5","U 205.5"
"Pistons","19-Dec","MIA","W 100-90","W 6.5","U 208.5"
"Pistons","18-Dec","HOU","L 107-116","L 1","O 219"
"Pistons","16-Dec","@ IND","L 113-122","W 10.5","O 208"
"Pistons","12-Dec","BK","L 104-116","L 7","O 211.5"
"Pistons","10-Dec","@ NO","L 93-109","L 6.5","U 211.5"
"Pistons","8-Dec","WAS","L 116-119 (OT)","W 5","O 210.5"
"Pistons","6-Dec","OKC","L 103-114","L -3","O 205"
"Pistons","2-Dec","@ PHO","L 103-114","W 11.5","O 208.5"
"Pistons","30-Nov","@ POR","L 92-110","L 7.5","U 209"
"Pistons","28-Nov","@ LAL","L 106-110","W 10.5","O 215"
"Pistons","26-Nov","@ LAC","L 96-107","W 11.5","U 205.5"
"Pistons","24-Nov","@ MIL","L 93-114","L 15","U 213.5"
"Pistons","23-Nov","MIA","L 92-100","W 10.5","U 208"
"Pistons","21-Nov","LAL","L 116-121","W 7","O 213"
"Pistons","19-Nov","GS","L 102-105","L 2","O 201.5"
"Pistons","17-Nov","IND","W 97-89","W 7","U 205.5"
"Pistons","15-Nov","SAC","L 107-129","L 4.5","O 214.5"
"Pistons","13-Nov","@ TOR","W 127-121","W 7.5","O 203"
"Pistons","12-Nov","@ CLE","L 78-98","L 5","U 200.5"
"Pistons","10-Nov","@ HOU","W 112-104","W 2.5","O 211"
"Pistons","5-Nov","BK","L 90-96","W 9.5","U 211"
"Pistons","4-Nov","PHI","L 98-109","L 4.5","P 207"
"Pistons","2-Nov","MIL","L 89-117","L 4.5","U 212"
"Pistons","31-Oct","@ BK","L 91-117","L 12","U 211.5"
"Pistons","30-Oct","ORL","W 110-103","W -6","O 207.5"
"Pistons","28-Oct","@ PHI","L 102-110","W 11","O 210.5"
"Pistons","25-Oct","@ ATL","L 104-122","L 11.5","O 213"
"Pistons","23-Oct","@ CHI","L 82-97","L 8","U 213"
"Pistons","20-Oct","CHI","L 88-94","L 5","U 217.5"
"Pistons","9-Apr","@ CHI","L 81-103","L 8","U 221"
"Pistons","7-Apr","@ IND","W 122-115","W 6.5","O 233.5"
"Pistons","5-Apr","BK","L 108-123","L 11.5","O 218"
"Pistons","4-Apr","MIA","L 105-118","W 13.5","O 217"
"Pistons","2-Apr","@ ORL","L 102-128","L 11","O 226.5"
"Pistons","31-Mar","@ HOU","L 115-121","P 6","O 228.5"
"Pistons","29-Mar","@ OKC","L 106-107","W 9.5","U 228"
"Pistons","27-Mar","MIL","L 117-126","W 11.5","O 226.5"
"Pistons","24-Mar","@ TOR","L 97-118","L 13.5","U 223"
"Pistons","21-Mar","@ ATL","L 107-129","L 13.5","U 237"
"Pistons","19-Mar","MIA","L 100-112","L 10","U 218.5"
"Pistons","16-Mar","DEN","L 100-119","L 15","U 229.5"
"Pistons","14-Mar","@ WAS","L 97-117","L 13.5","U 221"
"Pistons","13-Mar","IND","W 117-97","W 4","U 226.5"
"Pistons","11-Mar","IND","L 115-121","L 3.5","O 227.5"
"Pistons","9-Mar","CHA","L 103-113","L 3.5","U 226"
"Pistons","7-Mar","WAS","L 117-119","W 11","O 222.5"
"Pistons","6-Mar","POR","L 104-110","L 5","U 231"
"Pistons","4-Mar","@ CLE","L 90-114","L 16.5","U 221"
"Pistons","1-Mar","CHI","L 115-117","W 7","O 223"
